game_id,score,max_tile,steps,duration_sec
42,20556,1024,1058,57.885303258895874
43,200164,8192,7462,462.1518363952637
44,63788,2048,2750,156.8652994632721
45,11104,512,617,34.27781295776367
46,30448,1024,1488,86.33467411994934
47,105508,4096,4250,240.83083605766296
48,60604,2048,2643,139.68000960350037
49,142512,8192,5249,309.38931369781494
50,141076,8192,5161,219.3449056148529
51,131452,8192,4703,149.56960344314575
52,26236,1024,1307,47.08005619049072
53,8072,512,479,16366.538460969925
54,200268,8192,7497,33120.08597445488
55,28236,1024,1414,39.371115922927856
56,41344,1024,1984,63.588624000549316
57,15760,512,828,3695.107087612152
58,67584,4096,2745,10449.409500837326
59,40692,2048,1862,70.38636350631714
60,271976,16384,9144,596.1849565505981
61,7284,256,486,32.49452209472656
62,47020,1024,2194,2267.1169352531433
63,47392,2048,2016,576.5337102413177
64,115512,4096,4542,281.869108915329
65,38400,1024,1825,106.04965090751648
66,127944,8192,4685,293.44455003738403
67,66260,2048,2804,168.37128806114197
68,28184,1024,1368,73.72604894638062
69,74824,2048,3219,180.30147576332092
70,159736,8192,5844,344.2057194709778
71,94368,4096,3792,223.46687388420105
