game_id,score,max_tile,steps,duration_sec
132,16836,512,907,65.02611374855042
133,94784,4096,3480,261.2165198326111
134,168156,8192,6315,3056.7773203849792
135,74272,2048,3172,224.95006322860718
136,33240,1024,1636,94.89849758148193
137,138336,8192,5096,361.70523285865784
138,87764,4096,3660,220.26701760292053
139,195076,8192,7167,392.04787135124207
140,6468,256,429,20.718870401382446
141,32092,1024,1566,81.6947877407074
142,43240,2048,1873,95.13803768157959
143,30060,2048,1349,75.23471212387085
144,8512,256,546,26.859628915786743
145,15208,1024,803,39.040303468704224
146,19380,1024,1009,53.29943823814392
147,12784,512,752,37.414209842681885
148,50408,2048,2169,118.63752245903015
149,39468,1024,1845,97.6682665348053
150,45868,2048,2136,119.98846340179443
151,4620,128,336,18.04837656021118
152,5872,128,420,22.079707384109497
153,36116,1024,1691,112.50350451469421
154,86528,4096,3489,202.3926339149475
155,20908,512,1102,53.49371361732483
156,18792,1024,976,44.62948679924011
157,88616,2048,3875,204.5862159729004
158,72360,4096,3019,157.99667501449585
159,12936,512,732,37.484376668930054
160,16740,512,900,45.15576696395874
161,16148,512,884,44.97803258895874
