game_id,score,max_tile,steps,duration_sec
132,12116,512,672,23.988354206085205
133,12712,512,722,27.246962547302246
134,16032,512,856,36.24484848976135
135,3612,128,292,10.282322883605957
136,26908,1024,1294,50.811352491378784
137,8180,256,516,19.418646097183228
138,3936,128,303,12.523481845855713
139,53600,2048,2247,84.4509551525116
140,7120,256,453,20.768129110336304
141,41152,2048,1828,73.49752855300903
142,9628,512,550,21.924699544906616
143,12980,512,730,26.991121768951416
144,8176,256,510,19.861123085021973
145,11824,512,680,28.1526141166687
146,30508,2048,1352,54.20608186721802
147,12316,512,689,50.114463806152344
148,16320,512,866,1493.2724494934082
149,22464,1024,1140,696.8692195415497
150,17608,1024,893,481.9126284122467
151,14676,512,784,25.51658844947815
152,14536,512,784,26.3133647441864
153,7276,256,463,18.603130102157593
154,25708,1024,1224,45.37662076950073
155,52532,2048,2279,73.09196758270264
156,30424,1024,1393,50.922621965408325
157,4936,128,357,12.932954788208008
158,12976,512,720,27.982668161392212
159,16984,1024,861,38.983256578445435
160,12056,512,679,30.460575342178345
161,5248,256,352,15.530193567276001
