game_id,score,max_tile,steps,duration_sec
72,40712,2048,1848,28.122584104537964
73,80720,4096,3233,68.33207559585571
74,110028,4096,4215,105.6458511352539
75,225764,8192,7680,183.87788724899292
76,74872,4096,3030,71.26837658882141
77,38756,1024,1851,40.975603103637695
78,44676,2048,1969,43.379026889801025
79,10108,256,637,13.827012777328491
80,55792,2048,2389,49.668121576309204
81,45852,2048,1927,40.47924780845642
82,13864,512,764,16.130942583084106
83,77588,4096,3085,67.17214632034302
84,172060,8192,6297,135.7878019809723
85,6820,256,420,9.00510048866272
86,22020,512,1173,25.14629030227661
87,17028,512,927,20.126670837402344
88,62424,2048,2690,58.936965227127075
89,72420,2048,3145,68.6442391872406
90,88488,4096,3541,75.07177829742432
91,37592,2048,1719,38.506030797958374
92,79144,4096,3125,71.57704949378967
93,34464,2048,1526,33.219282388687134
94,52548,2048,2270,49.74277853965759
95,140768,8192,5125,112.46852898597717
96,24056,1024,1164,25.93767285346985
97,16620,512,901,19.562024116516113
98,14764,512,824,18.16524910926819
99,59816,2048,2525,56.19749712944031
100,39092,1024,1891,40.4006621837616
101,16356,512,890,19.01436710357666
