game_id,score,max_tile,steps,duration_sec
72,19204,512,1034,12.610634326934814
73,25688,1024,1227,13.414875268936157
74,19272,512,1028,10.831372737884521
75,13732,512,777,8.78999948501587
76,15072,512,804,10.20668911933899
77,5100,128,364,4.762905120849609
78,20772,1024,975,13.431740045547485
79,8148,256,495,7.75065279006958
80,8152,256,511,9.08327054977417
81,17060,1024,866,15.526041030883789
82,56272,2048,2382,46.63341045379639
83,16740,512,918,17.84581685066223
84,22504,1024,1050,23.705386638641357
85,11664,512,645,13.681801795959473
86,31840,1024,1482,32.16716122627258
87,13420,512,766,16.646565675735474
88,9088,256,564,11.149851083755493
89,12492,512,684,14.074098348617554
90,23140,1024,1119,24.52400803565979
91,6848,256,432,8.243374109268188
92,16416,512,888,17.59089756011963
93,17496,1024,880,17.180529594421387
94,14316,512,785,16.449415922164917
95,19556,1024,1015,19.78859043121338
96,18104,512,953,18.534749269485474
97,19332,512,1012,20.539123058319092
98,31248,1024,1438,29.306134462356567
99,25848,1024,1260,24.971495151519775
100,9756,256,607,11.873705625534058
101,4436,128,334,6.467990159988403
