game_id,score,max_tile,steps,duration_sec
162,4480,128,332,33.46067237854004
163,23444,1024,1203,157.8150029182434
164,19768,1024,1022,129.08977055549622
165,57300,2048,2464,325.91880774497986
166,165288,8192,5893,724.1536431312561
167,95212,4096,3939,430.9634499549866
168,69580,2048,2975,305.026841878891
169,208064,8192,7043,608.4179191589355
170,70896,2048,3061,222.39215731620789
171,74836,2048,3228,250.93255043029785
172,9176,256,589,40.35402822494507
173,28012,1024,1359,104.34397101402283
174,24720,1024,1220,86.6720712184906
175,50204,2048,2163,168.3139157295227
176,81624,4096,3218,255.7876009941101
177,196420,8192,7201,560.1370584964752
178,91432,4096,3694,281.20310521125793
179,25676,1024,1273,79.69844245910645
180,116960,8192,4132,324.82662892341614
181,80748,4096,3270,259.7943515777588
182,21504,1024,1078,78.57272577285767
183,82900,4096,3309,258.72472739219666
184,72784,4096,2976,228.85079097747803
185,175112,8192,6257,476.52002477645874
186,107940,4096,4183,323.2696692943573
187,12708,512,695,54.3659553527832
188,13264,256,805,50.438425064086914
189,7668,256,491,28.808983087539673
190,131688,4096,5065,390.72699546813965
191,89296,4096,3636,292.3065655231476
