game_id,score,max_tile,steps,duration_sec
102,17664,512,963,37.349883794784546
103,14132,512,790,36.16496992111206
104,8516,256,551,24.595680475234985
105,4328,128,314,13.949829339981079
106,17160,1024,876,40.87052392959595
107,8756,256,534,24.376802921295166
108,26104,1024,1247,58.929925203323364
109,17248,512,946,43.13214683532715
110,31780,1024,1476,69.52536177635193
111,35064,1024,1644,77.30918383598328
112,46952,2048,1971,92.87732553482056
113,6488,128,459,20.861353397369385
114,12952,512,732,33.52282977104187
115,6916,256,445,20.444957971572876
116,9264,256,575,26.374215364456177
117,29120,1024,1441,68.00533604621887
118,5420,256,363,16.512511014938354
119,8252,256,512,23.680347681045532
120,15776,512,856,39.11828589439392
121,19764,1024,1027,47.729554653167725
122,27144,1024,1308,60.57734775543213
123,24572,1024,1194,56.084402084350586
124,11712,512,646,29.709023237228394
125,9904,256,615,28.583134174346924
126,4204,128,313,13.96174931526184
127,6884,256,439,20.1063711643219
128,30280,1024,1496,69.49131155014038
129,14516,512,769,36.54052472114563
130,28636,1024,1417,66.81535053253174
131,28704,1024,1428,66.36579585075378
