game_id,score,max_tile,steps,duration_sec
102,28648,1024,1389,339.54071068763733
103,28200,1024,1331,321.0768165588379
104,30200,1024,1404,339.9713680744171
105,16144,512,891,196.7569773197174
106,6332,256,424,106.47878360748291
107,13024,512,740,190.13241147994995
108,38716,2048,1764,416.96455478668213
109,8308,256,519,128.74545574188232
110,19112,512,1006,241.44161939620972
111,25196,1024,1206,310.2243866920471
112,11988,512,660,137.93949031829834
113,35228,1024,1671,401.2520205974579
114,7476,256,479,126.23720908164978
115,26324,1024,1261,274.60461473464966
116,12244,512,672,169.91369795799255
117,12488,512,707,177.74522495269775
118,6400,256,399,105.5501298904419
119,15124,512,813,206.92778325080872
120,8460,256,540,128.9028778076172
121,33448,2048,1476,360.6217484474182
122,27116,1024,1309,317.76933002471924
123,12880,512,713,155.1533327102661
124,16428,512,876,210.43461108207703
125,34616,2048,1526,404.89686036109924
126,3676,128,291,67.44438910484314
127,8816,256,545,130.65511393547058
128,8960,256,546,140.00587677955627
129,15956,512,864,219.7182023525238
130,54628,2048,2304,550.9613981246948
131,55956,2048,2370,608.9021739959717
