game_id,score,max_tile,steps,duration_sec
162,12304,512,688,70.47380518913269
163,14996,512,810,88.00466823577881
164,18136,1024,940,110.46402311325073
165,7384,256,474,47.55514073371887
166,6388,128,461,50.18182992935181
167,27400,1024,1336,143.41332578659058
168,28596,1024,1419,134.17081236839294
169,7480,256,476,50.61800527572632
170,17912,1024,927,95.63251781463623
171,14424,512,786,78.36067843437195
172,25892,1024,1226,118.11344075202942
173,32172,1024,1515,149.9022204875946
174,4308,128,327,33.86939859390259
175,8704,256,540,53.79860186576843
176,15624,512,840,86.82310557365417
177,36104,2048,1584,128.77332258224487
178,7548,256,484,44.19903063774109
179,10208,512,564,49.44555640220642
180,8732,256,539,48.551539182662964
181,12644,1024,653,56.40160608291626
182,13524,512,759,67.45511293411255
183,11168,512,646,58.23032093048096
184,6916,256,454,40.816216707229614
185,7148,256,445,40.18699908256531
186,16756,512,909,76.02954816818237
187,30692,1024,1411,105.25597882270813
188,41124,2048,1877,156.10827732086182
189,12660,512,706,56.64065146446228
190,6800,256,435,32.45390582084656
191,19048,1024,996,79.52114272117615
