game_id,score,max_tile,steps,duration_sec
102,247248,8192,8809,2566.0858101844788
103,7520,256,493,124.93665838241577
104,19952,512,1082,312.73172998428345
105,59840,2048,2601,776.2065155506134
106,42832,2048,1893,545.6085760593414
107,91508,4096,3764,1087.4273402690887
108,108028,4096,4132,1182.8852064609528
109,62088,2048,2693,776.4392266273499
110,27292,1024,1344,334.8144700527191
111,27564,1024,1336,354.9926772117615
112,9032,256,554,150.03465580940247
113,11176,512,627,156.01181888580322
114,33396,2048,1477,474.46684670448303
115,201472,8192,7586,2248.368863105774
116,7496,256,498,135.96691417694092
117,68552,2048,3012,860.1833956241608
118,30628,1024,1479,408.25428318977356
119,98264,4096,4021,1251.254478931427
120,34144,1024,1605,492.4623637199402
121,233980,16384,7621,2328.7464892864227
122,32908,2048,1515,409.2294909954071
123,10044,256,631,147.25119590759277
124,73296,2048,3173,796.5130314826965
125,84368,4096,3295,1046.195389032364
126,181916,8192,6555,2020.5848052501678
127,170616,8192,5966,1951.9677035808563
128,18340,512,1009,321.12764739990234
129,88172,4096,3662,1313.256987810135
130,143284,8192,5250,1566.5335764884949
131,5484,256,378,106.26712775230408
