game_id,score,max_tile,steps,duration_sec
12,11880,512,653,76.9520411491394
13,24852,1024,1184,166.08799839019775
14,9152,256,564,73.40151882171631
15,29708,2048,1351,220.50907564163208
16,33504,1024,1569,313.73316717147827
17,19512,512,1017,164.16785669326782
18,12268,512,674,141.23374676704407
19,8012,256,510,105.09533214569092
20,19760,1024,1021,190.4876847267151
21,36108,1024,1697,312.25788855552673
22,17492,512,926,184.80847239494324
23,16408,512,900,177.89933943748474
24,16248,512,880,161.95115065574646
25,5232,128,375,68.13566303253174
26,8300,256,530,98.96883821487427
27,8488,256,544,104.40182971954346
28,16252,512,874,180.82685923576355
29,16504,512,895,178.34278011322021
30,25056,1024,1236,251.72913694381714
31,4420,128,326,62.82378149032593
32,13012,512,727,134.6355516910553
33,15752,512,843,156.64451956748962
34,23868,1024,1171,233.156396150589
35,3896,128,295,49.5696702003479
36,8168,256,521,105.87503910064697
37,42836,2048,1913,374.26462864875793
38,8692,256,528,103.87117838859558
39,26084,1024,1241,244.36886072158813
40,10096,512,578,113.06275653839111
41,34832,1024,1595,272.1238317489624
