game_id,score,max_tile,steps,duration_sec
42,17820,1024,916,47.76560854911804
43,6912,256,435,24.27897357940674
44,10252,512,576,34.735896587371826
45,26180,1024,1241,71.23662900924683
46,13552,512,772,40.65808725357056
47,13428,512,743,36.04812026023865
48,4432,128,324,15.653058052062988
49,35296,2048,1572,84.11091589927673
50,15544,512,831,43.83091640472412
51,12352,512,698,37.4192430973053
52,19624,1024,979,50.292149782180786
53,9788,256,601,30.92532467842102
54,19444,1024,1006,56.44599986076355
55,28200,1024,1358,71.97174978256226
56,29928,1024,1450,69.15639853477478
57,12008,512,663,35.19890880584717
58,49552,2048,2101,110.40279936790466
59,35304,1024,1671,74.60862636566162
60,26788,1024,1297,69.10896730422974
61,6216,256,417,22.179333925247192
62,7668,256,492,22.769169569015503
63,15024,512,818,39.89979863166809
64,12736,512,718,34.945143699645996
65,31640,1024,1546,64.08776950836182
66,27668,1024,1356,56.14642834663391
67,24008,1024,1166,53.07902979850769
68,6856,256,438,19.62033772468567
69,16888,512,905,38.9267201423645
70,9616,256,600,21.319644451141357
71,18464,512,975,38.17049312591553
