game_id,score,max_tile,steps,duration_sec
72,16540,512,896,65.86051034927368
73,20148,512,1085,90.41123843193054
74,28728,1024,1395,115.86279511451721
75,15280,512,820,64.94741940498352
76,4756,128,351,28.41179895401001
77,9144,256,564,45.625871658325195
78,4248,128,326,24.40873885154724
79,8036,256,510,38.90546369552612
80,23096,1024,1121,86.7879843711853
81,4228,128,318,23.47518038749695
82,25892,1024,1246,89.24205708503723
83,15452,512,846,64.63267588615417
84,9696,512,592,44.10631704330444
85,29808,2048,1358,102.24877882003784
86,4564,128,331,22.510457277297974
87,7412,256,462,34.97936272621155
88,27444,1024,1333,103.09135270118713
89,9464,256,580,44.63186740875244
90,30372,2048,1405,111.2570731639862
91,5096,128,366,27.238165378570557
92,9832,256,616,42.6720666885376
93,37500,2048,1669,125.3953149318695
94,11472,512,636,50.72207427024841
95,13652,1024,711,57.241065979003906
96,31160,1024,1445,95.76113247871399
97,12968,512,745,50.03998947143555
98,18900,1024,963,69.04017353057861
99,25952,1024,1231,83.0470941066742
100,17308,1024,852,61.18169021606445
101,4620,128,337,24.627989053726196
