game_id,score,max_tile,steps,duration_sec
42,23988,1024,1154,43.15169382095337
43,15436,512,855,34.425848960876465
44,28132,1024,1321,45.275667905807495
45,8756,256,552,21.79974889755249
46,30516,1024,1416,54.35803842544556
47,7696,256,485,19.377626419067383
48,51084,2048,2198,83.6924786567688
49,29264,2048,1307,49.467766761779785
50,15752,512,840,30.861584901809692
51,13740,512,738,29.1745662689209
52,31740,1024,1466,57.61706566810608
53,16592,512,904,36.00655269622803
54,4496,128,336,12.1728036403656
55,9476,256,614,22.19249963760376
56,13656,512,735,29.799894332885742
57,30848,2048,1392,55.88756346702576
58,16196,512,843,32.09733700752258
59,26644,1024,1282,50.04783058166504
60,29328,1024,1402,54.4073052406311
61,9456,512,553,22.16466784477234
62,13400,512,758,31.520753622055054
63,17044,512,936,36.46100115776062
64,29924,1024,1372,53.21822214126587
65,3816,128,293,10.183159112930298
66,11348,512,637,24.004674673080444
67,39888,2048,1797,72.33605933189392
68,16296,512,876,34.381752729415894
69,5108,128,372,13.64904522895813
70,9172,256,579,22.67716383934021
71,5040,128,366,14.12649917602539
