game_id,score,max_tile,steps,duration_sec
42,9820,256,608,3.7931997776031494
43,45096,2048,1874,20.87333583831787
44,32396,2048,1481,17.305727243423462
45,16080,512,854,10.10081171989441
46,14292,512,818,9.692593574523926
47,5312,256,362,4.442723274230957
48,40408,1024,1840,21.86922860145569
49,186172,8192,6819,82.32921624183655
50,73112,4096,2882,34.688610792160034
51,143948,8192,5328,63.83211636543274
52,3796,128,290,3.293964385986328
53,185436,8192,6781,75.65433502197266
54,50532,2048,2281,25.233569145202637
55,34176,1024,1593,16.890438079833984
56,71592,2048,3078,33.96083354949951
57,18224,1024,948,10.52564549446106
58,83496,2048,3541,38.8202600479126
59,114056,4096,4398,48.290555477142334
60,32624,1024,1623,17.896485567092896
61,40252,2048,1824,19.819980144500732
62,107876,4096,4189,45.96743154525757
63,138268,8192,5111,56.58858871459961
64,24180,1024,1181,12.850817203521729
65,83520,4096,3324,36.04110240936279
66,21256,1024,1076,12.02704644203186
67,38880,2048,1789,20.01506519317627
68,50980,2048,2186,23.689284801483154
69,95732,4096,3909,42.09124994277954
70,83512,4096,3334,35.01263689994812
71,67588,2048,2738,29.03019094467163
