game_id,score,max_tile,steps,duration_sec
12,62696,4096,2485,699.294216632843
13,51640,2048,2338,674.1558809280396
14,92016,4096,3708,1166.3227519989014
15,79520,2048,3336,962.0276367664337
16,71156,2048,3173,919.3044934272766
17,78420,2048,3266,869.4915175437927
18,148352,4096,5903,1765.0280752182007
19,83596,4096,3351,1021.970885515213
20,78044,4096,3232,1061.5238208770752
21,30552,1024,1525,431.40979528427124
22,88928,4096,3614,1105.4000027179718
23,24768,1024,1289,425.83035683631897
24,48332,2048,2071,655.3846039772034
25,185748,8192,6721,2099.670996904373
26,82172,4096,3281,1051.366907119751
27,167608,8192,6052,1894.878003835678
28,62132,2048,2706,863.1416575908661
29,111600,4096,4301,1274.1741769313812
30,183448,8192,6747,1998.5599718093872
31,20388,512,1068,288.8301520347595
32,41380,2048,1895,534.5688481330872
33,84932,4096,3385,1017.5299699306488
34,168060,8192,6070,1851.9192802906036
35,49028,2048,2175,618.6205310821533
36,14100,512,787,221.94300365447998
37,9124,256,579,166.732435464859
38,181100,8192,6528,2081.269855737686
39,21116,1024,1105,332.89593505859375
40,35308,2048,1566,481.7911477088928
41,82704,4096,3319,1019.6777265071869
