Version,game_id,score,max_tile,steps,duration_sec
v0,180,5236,128,370,7.6392927169799805
v0,181,20472,1024,1020,20.450130701065063
v0,182,23540,1024,1142,23.82488989830017
v0,183,17204,1024,877,17.752463579177856
v0,184,15848,512,869,17.64227557182312
v0,185,17416,512,934,18.697965145111084
v0,186,7888,256,505,10.765477895736694
v0,187,14260,512,767,15.381042957305908
v0,188,25672,1024,1216,24.963303804397583
v0,189,14248,512,761,15.731304168701172
v0,190,9036,256,580,11.845063209533691
v0,191,20648,1024,1086,23.38844966888428
v0,42,27980,1024,1368,11.51857304573059
v0,43,8788,256,535,4.536816358566284
v0,44,9648,256,577,4.964561700820923
v0,45,12980,512,733,6.392993211746216
v0,46,12052,512,677,6.930314779281616
v0,47,7500,256,495,5.284831762313843
v0,48,23440,1024,1131,11.965123414993286
v0,49,18244,1024,936,9.842145919799805
v0,50,13056,512,721,7.630929470062256
v0,51,4360,128,324,3.426938533782959
v0,52,7356,512,434,4.682007789611816
v0,53,53996,2048,2245,24.13500475883484
v0,54,8164,256,496,5.328402519226074
v0,55,27776,1024,1364,14.49456524848938
v0,56,16016,512,852,9.135869979858398
v0,57,7336,256,456,4.781723976135254
v0,58,17884,1024,924,9.733002424240112
v0,59,25984,1024,1246,13.555243015289308
v0,60,14856,1024,770,8.198809623718262
v0,61,12692,512,711,7.716017484664917
v0,62,27560,1024,1336,14.130171060562134
v0,63,18400,1024,944,10.18186092376709
v0,64,6944,256,445,4.751579523086548
v0,65,12140,512,677,7.229084730148315
v0,66,15592,512,840,9.085615158081056
v0,67,62948,4096,2472,25.936060667037964
v0,68,33752,1024,1617,17.059658765792847
v0,69,13576,512,726,7.769385814666748
v0,70,17800,1024,898,9.845064878463743
v0,71,15852,512,852,8.60288381576538
v0,72,19204,512,1034,12.610634326934814
v0,73,25688,1024,1227,13.414875268936155
v0,74,19272,512,1028,10.83137273788452
v0,75,13732,512,777,8.78999948501587
v0,76,15072,512,804,10.20668911933899
v0,77,5100,128,364,4.762905120849609
v0,78,20772,1024,975,13.431740045547484
v0,79,8148,256,495,7.75065279006958
v0,80,8152,256,511,9.08327054977417
v0,81,17060,1024,866,15.526041030883787
v0,82,56272,2048,2382,46.63341045379639
v0,83,16740,512,918,17.84581685066223
v0,84,22504,1024,1050,23.70538663864136
