game_id,score,max_tile,steps,duration_sec
12,17756,512,959,178.4270350933075
13,13160,512,745,158.11414861679077
14,27100,1024,1310,337.7175545692444
15,8340,256,527,137.51450276374817
16,10060,512,566,147.97636127471924
17,16232,512,867,187.51065135002136
18,27772,1024,1356,327.76932740211487
19,1256,32,147,32.439507484436035
20,7572,256,481,124.57682776451111
21,14364,512,794,187.401522397995
22,17948,1024,924,234.17369151115417
23,7088,256,449,106.748610496521
24,12304,512,684,156.01622343063354
25,23220,1024,1125,280.14547419548035
26,5980,256,373,96.46783351898193
27,7028,256,464,116.22214818000793
28,10200,256,627,146.1812927722931
29,17484,512,936,216.24906706809998
30,8872,256,552,126.03087711334229
31,29856,1024,1471,349.01917719841003
32,28012,1024,1386,326.643141746521
33,29500,1024,1350,298.5905077457428
34,6668,256,446,95.16579508781433
35,9100,256,567,139.3245120048523
36,27512,1024,1319,312.5588026046753
37,4736,256,312,76.91723942756653
38,44204,2048,1835,416.2804706096649
39,11392,512,637,161.8282208442688
40,16024,512,856,210.20666217803955
41,4724,128,337,75.31948184967041
