game_id,score,max_tile,steps,duration_sec
42,27980,1024,1368,11.51857304573059
43,8788,256,535,4.536816358566284
44,9648,256,577,4.964561700820923
45,12980,512,733,6.392993211746216
46,12052,512,677,6.930314779281616
47,7500,256,495,5.284831762313843
48,23440,1024,1131,11.965123414993286
49,18244,1024,936,9.842145919799805
50,13056,512,721,7.630929470062256
51,4360,128,324,3.426938533782959
52,7356,512,434,4.682007789611816
53,53996,2048,2245,24.13500475883484
54,8164,256,496,5.328402519226074
55,27776,1024,1364,14.49456524848938
56,16016,512,852,9.135869979858398
57,7336,256,456,4.781723976135254
58,17884,1024,924,9.733002424240112
59,25984,1024,1246,13.555243015289307
60,14856,1024,770,8.198809623718262
61,12692,512,711,7.716017484664917
62,27560,1024,1336,14.130171060562134
63,18400,1024,944,10.18186092376709
64,6944,256,445,4.751579523086548
65,12140,512,677,7.229084730148315
66,15592,512,840,9.085615158081055
67,62948,4096,2472,25.936060667037964
68,33752,1024,1617,17.059658765792847
69,13576,512,726,7.769385814666748
70,17800,1024,898,9.845064878463745
71,15852,512,852,8.60288381576538
