game_id,score,max_tile,steps,duration_sec
102,12676,512,663,125.70225930213928
103,13628,512,768,152.74529600143433
104,18892,1024,967,190.87355136871338
105,27652,1024,1341,276.01191997528076
106,8400,256,519,91.04560136795044
107,28584,1024,1368,239.15663886070251
108,18328,512,964,184.30895280838013
109,33200,1024,1576,310.0117259025574
110,17012,512,925,182.38686227798462
111,5308,128,395,68.99942326545715
112,14036,512,758,159.67406105995178
113,16524,512,909,190.8467071056366
114,4512,128,336,68.38303065299988
115,15288,512,840,167.66628694534302
116,9592,256,588,115.04882502555847
117,3376,128,265,54.1721715927124
118,27864,1024,1371,262.07942819595337
119,15764,512,850,160.80145049095154
120,13316,512,711,144.2524721622467
121,8092,256,524,100.3689329624176
122,25160,1024,1245,254.27646899223328
123,14292,512,804,147.91506433486938
124,14404,512,770,155.6330647468567
125,10272,256,629,117.99708437919617
126,16996,512,948,180.91007471084595
127,30772,1024,1429,285.8872764110565
128,27300,1024,1302,268.32978892326355
129,16588,512,890,172.47589540481567
130,5944,256,396,67.72998380661011
131,30896,2048,1373,294.4914937019348
