game_id,score,max_tile,steps,duration_sec
72,15120,512,823,81.37374997138977
73,4988,128,360,42.65328001976013
74,31460,1024,1462,157.67540407180786
75,14208,512,761,82.25990533828735
76,16752,1024,856,94.87991046905518
77,21600,1024,1017,106.44140529632568
78,9036,256,553,52.6502149105072
79,11268,512,623,64.8791389465332
80,10868,512,636,60.206854820251465
81,5004,128,366,37.582276821136475
82,37140,2048,1636,153.84279108047485
83,16536,512,899,85.46318173408508
84,6356,256,412,41.69667196273804
85,35836,2048,1597,143.23400139808655
86,6488,256,423,42.976909160614014
87,36712,2048,1655,147.15462923049927
88,51712,2048,2225,207.09274435043335
89,10116,256,618,55.440797328948975
90,27248,1024,1316,120.46192717552185
91,15816,1024,791,76.42455768585205
92,5836,256,372,33.469690799713135
93,10448,256,642,49.78496694564819
94,31136,1024,1424,114.59873843193054
95,7612,256,482,39.16734957695007
96,14756,512,775,61.8204870223999
97,24028,1024,1164,92.20761585235596
98,9424,256,566,39.690605878829956
99,14348,512,768,58.790424823760986
100,23476,1024,1125,110.47605514526367
101,18036,512,972,85.87183356285095
