game_id,score,max_tile,steps,duration_sec
12,25624,1024,1236,28.111756086349487
13,12736,512,700,17.613548517227173
14,28320,1024,1321,35.47401785850525
15,16016,512,860,22.295567989349365
16,26304,1024,1265,32.14836025238037
17,16664,512,887,24.242673635482788
18,17640,512,945,24.63492774963379
19,4128,128,312,9.016995906829834
20,9484,256,588,17.823007345199585
21,9852,256,612,19.265031576156616
22,4716,128,342,10.053617000579834
23,14232,512,802,23.68304204940796
24,14728,512,771,23.2424373626709
25,32328,1024,1523,47.35215663909912
26,4484,128,327,9.094641208648682
27,17508,512,903,31.71914267539978
28,27624,1024,1349,48.41213321685791
29,22016,512,1173,41.59496331214905
30,13220,512,747,28.96142053604126
31,33796,2048,1477,52.49061560630798
32,8560,256,530,18.933098793029785
33,32992,1024,1524,63.60143685340881
34,11448,512,622,25.810064554214478
35,12524,512,708,29.101163625717163
36,26312,1024,1257,49.243141174316406
37,3844,128,301,13.894058227539062
38,16740,512,911,40.64494848251343
39,16236,512,875,39.040374755859375
40,7188,256,463,21.408970832824707
41,7832,256,480,22.663418292999268
